date,brand,search_interest
2021-08-08,Gucci,33
2021-08-15,Gucci,31
2021-08-22,Gucci,31
2021-08-29,Gucci,33
2021-09-05,Gucci,32
2021-09-12,Gucci,32
2021-09-19,Gucci,31
2021-09-26,Gucci,33
2021-10-03,Gucci,32
2021-10-10,Gucci,31
2021-10-17,Gucci,31
2021-10-24,Gucci,36
2021-10-31,Gucci,43
2021-11-07,Gucci,49
2021-11-14,Gucci,56
2021-11-21,Gucci,86
2021-11-28,Gucci,89
2021-12-05,Gucci,71
2021-12-12,Gucci,63
2021-12-19,Gucci,67
2021-12-26,Gucci,63
2022-01-02,Gucci,53
2022-01-09,Gucci,47
2022-01-16,Gucci,39
2022-01-23,Gucci,40
2022-01-30,Gucci,50
2022-02-06,Gucci,51
2022-02-13,Gucci,44
2022-02-20,Gucci,43
2022-02-27,Gucci,43
2022-03-06,Gucci,39
2022-03-13,Gucci,40
2022-03-20,Gucci,40
2022-03-27,Gucci,37
2022-04-03,Gucci,35
2022-04-10,Gucci,37
2022-04-17,Gucci,36
2022-04-24,Gucci,37
2022-05-01,Gucci,37
2022-05-08,Gucci,35
2022-05-15,Gucci,33
2022-05-22,Gucci,33
2022-05-29,Gucci,34
2022-06-05,Gucci,35
2022-06-12,Gucci,34
2022-06-19,Gucci,35
2022-06-26,Gucci,34
2022-07-03,Gucci,37
2022-07-10,Gucci,37
2022-07-17,Gucci,41
2022-07-24,Gucci,38
2022-07-31,Gucci,39
2022-08-07,Gucci,36
2022-08-14,Gucci,35
2022-08-21,Gucci,33
2022-08-28,Gucci,32
2022-09-04,Gucci,30
2022-09-11,Gucci,29
2022-09-18,Gucci,29
2022-09-25,Gucci,31
2022-10-02,Gucci,29
2022-10-09,Gucci,31
2022-10-16,Gucci,29
2022-10-23,Gucci,29
2022-10-30,Gucci,29
2022-11-06,Gucci,29
2022-11-13,Gucci,31
2022-11-20,Gucci,35
2022-11-27,Gucci,32
2022-12-04,Gucci,34
2022-12-11,Gucci,36
2022-12-18,Gucci,38
2022-12-25,Gucci,40
2023-01-01,Gucci,33
2023-01-08,Gucci,30
2023-01-15,Gucci,28
2023-01-22,Gucci,29
2023-01-29,Gucci,29
2023-02-05,Gucci,28
2023-02-12,Gucci,27
2023-02-19,Gucci,28
2023-02-26,Gucci,28
2023-03-05,Gucci,27
2023-03-12,Gucci,26
2023-03-19,Gucci,27
2023-03-26,Gucci,27
2023-04-02,Gucci,28
2023-04-09,Gucci,28
2023-04-16,Gucci,27
2023-04-23,Gucci,28
2023-04-30,Gucci,29
2023-05-07,Gucci,26
2023-05-14,Gucci,29
2023-05-21,Gucci,27
2023-05-28,Gucci,27
2023-06-04,Gucci,26
2023-06-11,Gucci,30
2023-06-18,Gucci,27
2023-06-25,Gucci,27
2023-07-02,Gucci,27
2023-07-09,Gucci,28
